Time,Accel x[m/s^2],Accel y[m/s^2],Accel z[m/s^2],Spin x[degrees/sec],Spin z[degrees/sec],Spin y[degrees/sec],,,,,,12:53:38:00,0,0,0,0,0,0
 11:50:09:749399,0.2656,-0.0342,0,7.9956,33.8135,19.4702,,,,,,12:53:40:00,0,0,0,0,0,0
 11:50:09:849312,0.2168,-0.0493,0,24.8413,35.8887,19.2871,,,,,,12:53:41:00,0,0,0,0,0,0
 11:50:09:949213,0.1646,-0.021,0,0.7324,21.3013,10.5591,,,,,,12:53:42:00,0,0,0,0,0,0
 11:50:10:049092,0.0464,-0.0107,0,20.0195,32.3486,22.8271,,,,,,12:53:43:00,0,0,0,0,0,0
 11:50:10:149013,0.0391,0.0234,0,-4.8218,10.1318,1.5259,,,,,,12:53:44:00,0,0,0,0,0,0
 11:50:10:248911,0.0308,0.0415,0,-18.7378,0.2441,-0.1831,,,,,,12:53:45:00,0,0,0,0,0,0
 11:50:10:348883,0.0674,-0.019,0,-12.8174,-10.6812,10.6201,,,,,,12:53:46:00,0,0,0,0,0,0
 11:50:10:448771,0.0957,-0.0166,0,-8.8501,22.0337,7.6904,,,,,,12:53:47:00,0,0,0,0,0,0
 11:50:10:548926,0.0435,0.0039,0,4.7607,32.4707,-6.3477,,,,,,12:53:48:00,0,0,0,0,0,0
 11:50:10:649643,-0.0244,-0.0176,0,-10.6201,22.2778,-5.5542,,,,,,12:53:49:00,0,0,0,0,0,0
 11:50:10:748545,-0.1328,-0.043,0,-20.9351,-32.5317,23.6206,,,,,,12:53:50:00,0,0,0,0,0,0
 11:50:10:848502,-0.1035,-0.0112,0,8.4839,-5.127,13.5498,,,,,,12:53:51:00,0,0,0,0,0,0
 11:50:10:948317,-0.0615,-0.0259,0,-7.1411,-1.8311,13.0615,,,,,,12:53:52:00,0,0,0,0,0,0
 11:50:11:048209,-0.0942,0.0005,0,-2.3804,2.1973,8.9111,,,,,,12:53:53:00,0,0,0,0,0,0
 11:50:11:148200,-0.0664,0.0342,0,5.188,-2.6855,14.7095,,,,,,12:53:54:00,0,0,0,0,0,0
 11:50:11:248027,-0.0288,0.0137,0,0.7324,-7.2632,22.522,,,,,,12:53:55:00,0,0,0,0,0,0
 11:50:11:348006,-0.0542,0.0049,0,1.2817,1.3428,14.4043,,,,,,12:53:56:00,0,0,0,0,0,0
 11:50:11:447851,-0.0669,0.0254,0,3.0518,0.5493,13.916,,,,,,12:53:57:00,0,0,0,0,0,0
 11:50:11:548207,-0.0498,0.0054,0,-3.479,-3.418,16.6016,,,,,,12:53:58:00,0,0,0,0,0,0
 11:50:11:647698,-0.0317,0.0205,0,-2.8687,-3.6621,23.9868,,,,,,12:53:59:00,0,0,0,0,0,0
 11:50:11:747607,-0.0571,-0.0356,0,-3.7842,2.7466,18.9819,,,,,,,,,,,,
 11:50:11:847526,-0.0024,-0.02,0,4.8828,-0.4883,22.522,,,,,,,,,,,,
 11:50:11:947476,-0.0449,0.0225,0,-0.7324,0.3052,24.231,,,,,,,,,,,,
 11:50:12:047368,-0.0601,-0.0425,0,-0.5493,4.0894,17.2729,,,,,,,,,,,,
 11:50:12:147483,-0.0332,0.0103,0,-12.5122,7.5073,22.8271,,,,,,,,,,,,
 11:50:12:247809,-0.0386,0.0083,0,-5.4932,1.1597,25.4517,,,,,,,,,,,,
 11:50:12:347111,-0.0054,0.0146,0,0.1221,-0.5493,25.1465,,,,,,,,,,,,
 11:50:12:447973,-0.0269,0.0312,0,0.4883,7.6294,27.5269,,,,,,,,,,,,
 11:50:12:546909,-0.0815,-0.0493,0,-8.1177,-0.4272,26.9775,,,,,,,,,,,,
 11:50:12:646824,-0.0679,-0.0059,0,-6.0425,-3.7231,28.0151,,,,,,,,,,,,
 11:50:12:746748,-0.0303,0.0508,0,1.5869,-5.4321,27.2827,,,,,,,,,,,,
 11:50:12:846635,-0.0376,-0.0073,0,-1.8921,0,28.3203,,,,,,,,,,,,
 11:50:12:946551,0.0029,0.0215,0,3.54,-0.6104,33.6304,,,,,,,,,,,,
 11:50:13:046460,-0.0244,0.0205,0,-4.4556,1.9531,26.6113,,,,,,,,,,,,
 11:50:13:146388,0.002,-0.0107,0,3.8452,-1.0376,22.0947,,,,,,,,,,,,
 11:50:13:246299,0.019,0.0093,0,-5.4321,0.5493,17.8833,,,,,,,,,,,,
 11:50:13:346198,-0.019,0.0132,0,3.7231,0.1831,22.2168,,,,,,,,,,,,
 11:50:13:446122,-0.0337,-0.0264,0,-4.5776,-5.3101,18.1274,,,,,,,,,,,,
 11:50:13:546035,-0.0278,0.0391,0,2.5024,-3.1738,24.7803,,,,,,,,,,,,
 11:50:13:645945,-0.0713,0.0117,0,-9.6436,0.1221,23.0103,,,,,,,,,,,,
 11:50:13:745849,0.0049,0.0688,0,4.2114,-4.2725,26.9775,,,,,,,,,,,,
 11:50:13:845765,0.0015,0.0024,0,-2.0142,1.77,27.9541,,,,,,,,,,,,
 11:50:13:945676,-0.002,0.022,0,-8.8501,2.3804,28.6865,,,,,,,,,,,,
 11:50:14:045570,-0.0283,0.0205,0,0.4272,-2.8687,30.9448,,,,,,,,,,,,
 11:50:14:145476,-0.0444,-0.0654,0,2.8076,-7.2021,31.7993,,,,,,,,,,,,
 11:50:14:245381,-0.0103,-0.019,0,-5.3711,12.3901,23.1323,,,,,,,,,,,,
 11:50:14:345289,-0.0244,-0.0547,0,-4.9438,2.1973,27.771,,,,,,,,,,,,
