Time,Accel x[m/s^2],Accel y[m/s^2],Accel z[m/s^2],Spin x[degrees/sec],Spin z[degrees/sec],Spin y[degrees/sec],,,,,,12:53:38:00,0,0,0,0,0,0
12:53:00:00,100,0,0,0,0,0,,,,,,12:53:39:00,0,0,0,0,0,0
12:53:01:00,0,0,0,0,50,0,,,,,,12:53:40:00,0,0,0,0,0,0
12:53:02:00,0,0,0,0,49,0,,,,,,12:53:41:00,0,0,0,0,0,0
12:53:03:00,0,0,0,0,48,0,,,,,,12:53:42:00,0,0,0,0,0,0
12:53:04:00,0,0,0,0,47,0,,,,,,12:53:43:00,0,0,0,0,0,0
12:53:05:00,0,0,0,0,46,0,,,,,,12:53:44:00,0,0,0,0,0,0
12:53:06:00,0,0,0,0,45,0,,,,,,12:53:45:00,0,0,0,0,0,0
12:53:07:00,0,0,0,0,44,0,,,,,,12:53:46:00,0,0,0,0,0,0
12:53:08:00,0,0,0,0,43,0,,,,,,12:53:47:00,0,0,0,0,0,0
12:53:09:00,0,0,0,0,42,0,,,,,,12:53:48:00,0,0,0,0,0,0
12:53:10:00,0,0,0,0,41,0,,,,,,12:53:49:00,0,0,0,0,0,0
12:53:11:00,0,0,0,0,40,0,,,,,,12:53:50:00,0,0,0,0,0,0
12:53:12:00,0,0,0,0,39,0,,,,,,12:53:51:00,0,0,0,0,0,0
12:53:13:00,0,0,0,0,38,0,,,,,,12:53:52:00,0,0,0,0,0,0
12:53:14:00,0,0,0,0,37,0,,,,,,12:53:53:00,0,0,0,0,0,0
12:53:15:00,0,0,0,0,36,0,,,,,,12:53:54:00,0,0,0,0,0,0
12:53:16:00,0,0,0,0,35,0,,,,,,12:53:55:00,0,0,0,0,0,0
12:53:17:00,0,0,0,0,34,0,,,,,,12:53:56:00,0,0,0,0,0,0
12:53:18:00,0,0,0,0,33,0,,,,,,12:53:57:00,0,0,0,0,0,0
12:53:19:00,0,0,0,0,32,0,,,,,,12:53:58:00,0,0,0,0,0,0
12:53:20:00,0,0,0,0,31,0,,,,,,12:53:59:00,0,0,0,0,0,0
12:53:21:00,0,0,0,0,30,0,,,,,,,,,,,,
12:53:22:00,0,0,0,0,29,0,,,,,,,,,,,,
12:53:23:00,0,0,0,0,28,0,,,,,,,,,,,,
12:53:24:00,0,0,0,0,27,0,,,,,,12:53:52:00,0,0,0,0,0,0
12:53:25:00,0,0,0,0,26,0,,,,,,12:53:53:00,0,0,0,0,0,0
12:53:26:00,0,0,0,0,25,0,,,,,,12:53:54:00,0,0,0,0,0,0
12:53:27:00,0,0,0,0,24,0,,,,,,12:53:55:00,0,0,0,0,0,0
12:53:28:00,0,0,0,0,23,0,,,,,,12:53:56:00,0,0,0,0,0,0
12:53:29:00,0,0,0,0,22,0,,,,,,12:53:57:00,0,0,0,0,0,0
12:53:30:00,0,0,0,0,21,0,,,,,,12:53:58:00,0,0,0,0,0,0
12:53:31:00,0,0,0,0,20,0,,,,,,12:53:59:00,0,0,0,0,0,0
12:53:32:00,0,0,0,0,19,0,,,,,,,,,,,,
12:53:33:00,0,0,0,0,18,0,,,,,,,,,,,,
12:53:34:00,0,0,0,0,17,0,,,,,,,,,,,,
12:53:35:00,0,0,0,0,16,0,,,,,,,,,,,,
12:53:36:00,0,0,0,0,15,0,,,,,,,,,,,,
12:53:37:00,0,0,0,0,14,0,,,,,,,,,,,,
12:53:38:00,0,0,0,0,13,0,,,,,,,,,,,,
12:53:39:00,0,0,0,0,12,0,,,,,,,,,,,,
12:53:40:00,0,0,0,0,11,0,,,,,,,,,,,,
12:53:41:00,0,0,0,0,10,0,,,,,,,,,,,,
12:53:42:00,0,0,0,0,9,0,,,,,,,,,,,,
12:53:43:00,0,0,0,0,8,0,,,,,,,,,,,,
12:53:44:00,0,0,0,0,7,0,,,,,,,,,,,,
12:53:45:00,0,0,0,0,6,0,,,,,,,,,,,,
12:53:46:00,0,0,0,0,5,0,,,,,,,,,,,,
12:53:47:00,0,0,0,0,4,0,,,,,,,,,,,,
12:53:48:00,0,0,0,0,3,0,,,,,,,,,,,,
12:53:49:00,0,0,0,0,2,0,,,,,,,,,,,,
12:53:50:00,0,0,0,0,1,0,,,,,,,,,,,,
12:53:51:00,0,0,0,0,0,0,,,,,,,,,,,,
