Time,Spin x[degrees/sec],Accel x[m/s^2],Spin y[degrees/sec],Accel y[m/s^2],Spin z[degrees/sec],Accel z[m/s^2],,,,
1,0.331222534,-0.743029785,1.176849365,0.003643799,0.696838379,-1.969683838,,,,12:53:18:011366
2,-0.914413452,-0.738397217,0.330474854,0.01494751,-0.016448975,-1.968518066,,,,12:53:18:192782
3,0.70954895,-0.742926025,0.712539673,0.003881836,-0.500946045,-1.965661621,,,,12:53:18:378796
4,-1.850509644,-0.743450928,-0.287109375,0.005181885,0.812728882,-1.965594482,,,,12:53:18:569237
5,-0.913665771,-0.740264893,0.276641846,0.017407227,0.386550903,-1.973382568,,,,12:53:18:782335
6,2.767913818,-0.746490479,-0.60786438,0.015472412,-0.194396973,-1.969915771,,,,12:53:18:968691
7,0.796279907,-0.742376709,-0.242996216,0.004144287,1.570877075,-1.96038208,,,,12:53:19:157165
8,-0.893478394,-0.743640137,1.326385498,-0.005395508,2.180984497,-1.952148438,,,,12:53:19:346668
9,2.392578125,-0.739135742,2.729034424,-0.011126709,7.058105469,0.004907227,,,,12:53:19:535834
10,5.108154297,-0.73414917,-2.528656006,-0.010571289,8.723937988,-1.972467041,,,,12:53:19:722181
11,5.766113281,-0.738305664,-3.010910034,-0.039233398,10.70304871,-1.964556885,,,,12:53:19:919446
12,2.193695068,-0.764221191,0.95703125,-0.022186279,16.31289673,-1.947601318,,,,12:53:20:105604
13,5.802749634,-0.760534668,1.829574585,0.001916504,16.12672424,-1.944287109,,,,12:53:20:300650
14,4.574310303,-0.762786865,5.245727539,-0.004229736,16.47962952,-0.781274414,,,,12:53:20:490453
15,7.147827148,-0.757739258,-3.567184448,-0.015960693,13.38647461,-1.576550293,,,,12:53:20:680624
16,3.001190186,-0.745794678,-0.25944519,-0.040563965,15.42988586,-1.180944824,,,,12:53:20:892382
17,5.745925903,-0.74642334,-4.230377197,-0.027459717,16.00260925,-1.975762939,,,,12:53:21:077600
18,5.793029785,-0.758929443,-4.502532959,-0.040686035,18.04452515,-1.96494751,,,,12:53:21:266788
19,5.518630981,-0.751831055,-5.547790527,-0.055413818,18.89463806,-1.949285889,,,,12:53:21:457531
20,2.973526001,-0.763812256,-1.759292603,-0.031219482,20.91860962,-1.95715332,,,,12:53:21:648251
21,6.566131592,-0.759283447,-0.960769653,-0.056994629,18.17910767,-1.954888916,,,,12:53:21:845266
22,7.71307373,-0.789880371,-2.189208984,-0.050408936,21.40983582,-1.966693115,,,,12:53:22:035129
23,3.889434814,-0.821820068,-5.276382446,-0.025543213,20.55523682,-1.94642334,,,,12:53:22:222867
24,3.278579712,-0.82253418,0.06729126,-0.02845459,17.59367371,-1.921893311,,,,12:53:22:412311
25,0.910675049,-0.826318359,3.046798706,-0.025927734,17.28862,-1.93470459,,,,12:53:22:603616
26,-0.088973999,-0.824719238,7.299606323,-0.03928833,17.67367554,-1.959222412,,,,12:53:22:792336
27,5.806488037,-0.780725098,-0.422439575,-0.016119385,20.55673218,-1.973980713,,,,12:53:23:010028
28,4.318603516,-0.751873779,-0.107666016,-0.019750977,19.96157837,-1.969329834,,,,12:53:23:200590
29,3.911117554,-0.74588623,-2.057617188,0.007196045,18.52603149,-1.966033936,,,,12:53:23:391485
30,4.358230591,-0.744732666,0.350662231,-0.013494873,16.61720276,-1.964587402,,,,12:53:23:578262
31,5.373580933,-0.75355835,-1.529006958,-0.043011475,17.87779236,-1.970001221,,,,12:53:23:767725
32,6.967636108,-0.74432373,-2.633331299,-0.02555542,20.77056885,-1.966577148,,,,12:53:23:969892
33,7.008758545,-0.750146484,-1.867706299,-0.050341797,20.22476196,-1.963122559,,,,12:53:24:156603
34,5.812469482,-0.75135498,-0.341690063,-0.071429443,19.34623718,-1.948376465,,,,12:53:24:344917
35,8.504867554,-0.771960449,-0.005233765,-0.071728516,19.7978363,-1.955731201,,,,12:53:24:535749
36,4.423278809,-0.770050049,-1.031051636,-0.014379883,21.8434906,-1.185626221,,,,12:53:24:727106
37,1.672561646,-0.762744141,-0.121124268,-0.04710083,16.15887451,-1.948651123,,,,12:53:24:942207
38,3.987380981,-0.764587402,3.313720703,-0.05894165,18.28527832,-1.181500244,,,,12:53:25:139842
39,3.655410767,-0.762084961,-2.969039917,-0.01854248,15.18240356,-1.980731201,,,,12:53:25:349912
40,0.971984863,-0.777496338,-2.462112427,-0.059698486,14.33827209,-1.96618042,,,,12:53:25:536741
41,2.760437012,-0.758105469,0.426925659,-0.024798584,17.5667572,-1.94352417,,,,12:53:25:725633
42,3.866256714,-0.744342041,-0.296081543,-0.04442749,17.27890015,-0.792962646,,,,12:53:25:913981
43,2.041168213,-0.763116455,-4.314865112,-0.011700439,17.66769409,-1.963391113,,,,12:53:26:104617
44,1.597045898,-0.776550293,-2.302108765,-0.012298584,18.94099426,-1.962188721,,,,12:53:26:289362
45,0.447113037,-0.77322998,-3.399703979,0.013800049,21.11824036,-1.970288086,,,,12:53:26:479248
46,4.822540283,-0.781787109,-2.115188599,-0.000671387,18.99407959,-1.951739502,,,,12:53:26:669674
47,1.991073608,-0.762054443,-2.095748901,0.017266846,18.38172913,-1.951654053,,,,12:53:26:859582
48,7.23979187,-0.781665039,-2.789596558,0.020581055,16.8938446,-1.926947021,,,,12:53:27:052434
49,4.006820679,-0.817211914,1.027313232,0.012304687,17.85087585,-1.941461182,,,,12:53:27:244695
50,3.282318115,-0.808825684,3.261383057,-0.001940918,16.70542908,-1.948016357,,,,12:53:27:436101
51,6.135467529,-0.783349609,1.979110718,-0.007940674,14.66500854,-1.955187988,,,,12:53:27:621996
52,1.275543213,-0.789105225,5.02142334,0.007983398,16.65234375,-1.572235107,,,,12:53:27:812539
53,3.747375488,-0.78963623,1.799667358,-0.006842041,16.41009521,-1.588653564,,,,12:53:28:001685
54,3.408676147,-0.796154785,-3.757843018,-0.006573486,19.17576599,-1.949395752,,,,12:53:28:200807
55,5.301055908,-0.773913574,-0.471038818,0.02588501,22.43714905,-1.940612793,,,,12:53:28:388602
56,8.627487183,-0.772845459,1.37348938,0.001599121,20.84085083,-1.949621582,,,,12:53:28:577951
57,8.11756897,-0.7590271,0.873291016,-0.007666016,20.29653931,-1.970697021,,,,12:53:28:767781
58,4.743286133,-0.763043213,-1.114044189,-0.020941162,22.74295044,-0.7777771,,,,12:53:28:953379
59,4.347015381,-0.761920166,1.97088623,-0.017529297,23.15267944,-1.952331543,,,,12:53:29:151273
60,6.362762451,-0.740686035,-4.259536743,0.031256104,23.97512817,-1.972528076,,,,12:53:29:339282
61,6.813613892,-0.737963867,-1.7787323,0.012994385,15.83363342,-1.967095947,,,,12:53:29:530253
62,4.364959717,-0.74675293,-0.632537842,-0.04095459,13.66087341,-1.942144775,,,,12:53:29:721134
63,6.299209595,-0.769000244,0.58543396,-0.04822998,14.41677856,-1.970397949,,,,12:53:29:910936
64,4.040466309,-0.760253906,-2.082290649,-0.04642334,19.98027039,-1.968811035,,,,12:53:30:097200
65,1.635177612,-0.772747803,3.937286377,-0.011853027,20.68309021,-1.953497314,,,,12:53:30:295694
66,5.238250732,-0.780310059,-1.502090454,-0.022711182,15.76858521,-1.174145508,,,,12:53:30:489044
67,1.488632202,-0.790356445,0.168228149,-0.040380859,20.47897339,-1.939660645,,,,12:53:30:675798
68,3.151473999,-0.751605225,4.62739563,0.028125,19.42025757,-1.957928467,,,,12:53:30:865849
69,7.766906738,-0.721838379,2.044158936,-0.012200928,16.20597839,0.394262695,,,,12:53:31:053424
70,6.974365234,-0.72064209,-2.036682129,-0.026617432,13.20553589,-1.579284668,,,,12:53:31:253725
71,2.102478027,-0.729418945,-3.65914917,-0.030865479,14.34126282,-1.975476074,,,,12:53:31:443925
72,0.210845947,-0.715625,-0.457580566,-0.051202393,16.70916748,-1.95881958,,,,12:53:31:633828
73,2.78062439,-0.700518799,3.054275513,-0.017047119,17.75442505,-1.963439941,,,,12:53:31:820342
74,4.043457031,-0.727642822,-0.530853271,0.014849854,16.58804321,-1.953625488,,,,12:53:32:008917
75,5.601623535,-0.730975342,6.093597412,0.000817871,15.91363525,-1.182189941,,,,12:53:32:198873
76,4.631881714,-0.723730469,-0.50617981,0.005432129,17.31852722,-1.577850342,,,,12:53:32:395579
77,1.847518921,-0.748834229,5.887985229,0.042919922,18.17312622,-1.544354248,,,,12:53:32:585291
78,4.904785156,-0.708166504,3.600082397,0.008221436,14.84594727,0.795550537,,,,12:53:32:774638
79,9.843215942,-0.677801514,-5.115631104,-0.024841309,15.99363708,0.772540283,,,,12:53:32:966016
80,4.047195435,-0.689178467,-6.907073975,0.04130249,18.92529297,0.411444092,,,,12:53:33:151502
81,3.955230713,-0.714172363,-0.883010864,0.007873535,14.86538696,-1.948913574,,,,12:53:33:352656
82,4.039718628,-0.701159668,-0.195892334,0.012902832,16.56486511,-1.971343994,,,,12:53:33:539519
83,4.720855713,-0.706512451,-1.33984375,-0.010852051,12.32701111,-1.978192139,,,,12:53:33:727614
84,4.910766602,-0.680236816,-1.477416992,-0.010546875,13.75283813,-1.970343018,,,,12:53:33:918615
85,6.910812378,-0.697106934,2.471084595,-0.000500488,10.38902283,-1.961315918,,,,12:53:34:105600
86,9.921722412,-0.713079834,1.188064575,-0.036962891,10.896698,0.006768799,,,,12:53:34:297011
87,5.330963135,-0.727307129,0.014205933,-0.018054199,14.87734985,-0.793835449,,,,12:53:34:491173
88,3.621765137,-0.74956665,-2.986984253,-0.046466064,13.19058228,-1.980407715,,,,12:53:34:682780
