Time,Accel x[m/s^2],Accel y[m/s^2],Accel z[m/s^2],Spin x[degrees/sec],Spin y[degrees/sec],Spin z[degrees/sec]
1,-3.94784176,0.0,0.0,0.0,0.0,0.0
2,-3.947763677,-0.024829687,0.0,0.0,0.0,0.0
3,-3.947529431,-0.049658393,0.0,0.0,0.0,0.0
4,-3.947139031,-0.074485134,0.0,0.0,0.0,0.0
5,-3.946592493,-0.099308928,0.0,0.0,0.0,0.0
6,-3.945889837,-0.124128794,0.0,0.0,0.0,0.0
7,-3.945031093,-0.14894375,0.0,0.0,0.0,0.0
8,-3.944016294,-0.173752814,0.0,0.0,0.0,0.0
9,-3.94284548,-0.198555005,0.0,0.0,0.0,0.0
10,-3.941518697,-0.223349342,0.0,0.0,0.0,0.0
11,-3.940035998,-0.248134843,0.0,0.0,0.0,0.0
12,-3.938397442,-0.272910529,0.0,0.0,0.0,0.0
13,-3.936603093,-0.297675419,0.0,0.0,0.0,0.0
14,-3.934653022,-0.322428534,0.0,0.0,0.0,0.0
15,-3.932547307,-0.347168895,0.0,0.0,0.0,0.0
16,-3.930286031,-0.371895523,0.0,0.0,0.0,0.0
17,-3.927869283,-0.396607439,0.0,0.0,0.0,0.0
18,-3.925297159,-0.421303666,0.0,0.0,0.0,0.0
19,-3.92256976,-0.445983228,0.0,0.0,0.0,0.0
20,-3.919687195,-0.470645148,0.0,0.0,0.0,0.0
21,-3.916649578,-0.495288451,0.0,0.0,0.0,0.0
22,-3.913457028,-0.519912161,0.0,0.0,0.0,0.0
23,-3.910109672,-0.544515305,0.0,0.0,0.0,0.0
24,-3.906607643,-0.569096909,0.0,0.0,0.0,0.0
25,-3.902951078,-0.593656001,0.0,0.0,0.0,0.0
26,-3.899140123,-0.61819161,0.0,0.0,0.0,0.0
27,-3.895174928,-0.642702765,0.0,0.0,0.0,0.0
28,-3.891055651,-0.667188496,0.0,0.0,0.0,0.0
29,-3.886782453,-0.691647835,0.0,0.0,0.0,0.0
30,-3.882355505,-0.716079814,0.0,0.0,0.0,0.0
31,-3.877774981,-0.740483467,0.0,0.0,0.0,0.0
32,-3.873041062,-0.764857828,0.0,0.0,0.0,0.0
33,-3.868153936,-0.789201934,0.0,0.0,0.0,0.0
34,-3.863113796,-0.813514821,0.0,0.0,0.0,0.0
35,-3.857920842,-0.837795527,0.0,0.0,0.0,0.0
36,-3.852575278,-0.862043093,0.0,0.0,0.0,0.0
37,-3.847077316,-0.886256558,0.0,0.0,0.0,0.0
38,-3.841427175,-0.910434965,0.0,0.0,0.0,0.0
39,-3.835625076,-0.934577358,0.0,0.0,0.0,0.0
40,-3.829671251,-0.958682781,0.0,0.0,0.0,0.0
41,-3.823565934,-0.982750282,0.0,0.0,0.0,0.0
42,-3.817309366,-1.006778907,0.0,0.0,0.0,0.0
43,-3.810901796,-1.030767707,0.0,0.0,0.0,0.0
44,-3.804343477,-1.054715733,0.0,0.0,0.0,0.0
45,-3.797634667,-1.078622037,0.0,0.0,0.0,0.0
46,-3.790775634,-1.102485673,0.0,0.0,0.0,0.0
47,-3.783766647,-1.126305698,0.0,0.0,0.0,0.0
48,-3.776607985,-1.150081169,0.0,0.0,0.0,0.0
49,-3.76929993,-1.173811146,0.0,0.0,0.0,0.0
50,-3.761842771,-1.19749469,0.0,0.0,0.0,0.0
51,-3.754236804,-1.221130864,0.0,0.0,0.0,0.0
52,-3.746482329,-1.244718734,0.0,0.0,0.0,0.0
53,-3.738579653,-1.268257366,0.0,0.0,0.0,0.0
54,-3.730529088,-1.291745829,0.0,0.0,0.0,0.0
55,-3.722330954,-1.315183194,0.0,0.0,0.0,0.0
56,-3.713985574,-1.338568533,0.0,0.0,0.0,0.0
57,-3.705493279,-1.361900923,0.0,0.0,0.0,0.0
58,-3.696854404,-1.385179439,0.0,0.0,0.0,0.0
59,-3.688069292,-1.408403161,0.0,0.0,0.0,0.0
60,-3.679138289,-1.431571171,0.0,0.0,0.0,0.0
61,-3.670061749,-1.454682551,0.0,0.0,0.0,0.0
62,-3.660840031,-1.477736388,0.0,0.0,0.0,0.0
63,-3.6514735,-1.50073177,0.0,0.0,0.0,0.0
64,-3.641962526,-1.523667786,0.0,0.0,0.0,0.0
65,-3.632307486,-1.546543531,0.0,0.0,0.0,0.0
66,-3.622508761,-1.569358098,0.0,0.0,0.0,0.0
67,-3.61256674,-1.592110585,0.0,0.0,0.0,0.0
68,-3.602481815,-1.614800093,0.0,0.0,0.0,0.0
69,-3.592254385,-1.637425724,0.0,0.0,0.0,0.0
70,-3.581884855,-1.659986582,0.0,0.0,0.0,0.0
71,-3.571373635,-1.682481775,0.0,0.0,0.0,0.0
72,-3.560721141,-1.704910415,0.0,0.0,0.0,0.0
73,-3.549927794,-1.727271612,0.0,0.0,0.0,0.0
74,-3.538994022,-1.749564483,0.0,0.0,0.0,0.0
75,-3.527920256,-1.771788146,0.0,0.0,0.0,0.0
76,-3.516706935,-1.793941721,0.0,0.0,0.0,0.0
77,-3.505354502,-1.816024333,0.0,0.0,0.0,0.0
